text,label
تراجع التضخم النصف سنوي في الجزائر,pos				
صكوك من الكويت بملياري دولار,pos				
الحرب في سوريا: قافلة الإغاثة المرتقبة لن تتمكن من دخول الغوطة الشرقية,neg				
الأساطير المحيطة بالممثلين المجوس في مصر تتحطم على يد المؤرخ السينمائي أشرف غريب,pos				
مصر: مجلس النواب يقر حصانة قضائية لضباط كبار بالجيش بعد عزل مرسي,neg				
بتكوين تخسر مجدداً,neg				
الليرة التركية تنحدر مجدداً,neg				
هل استطاع الموساد اختراق أسرار إيران النووية؟,neg				
أسواق إيران توقف إضرابها,pos				
مفتشو منظمة حظر الأسلحة الكيمياوية في دوما السورية,neg				
انفجار في مصنع للكيماويات قرب مطار القاهرة بالعاصمة المصرية,neg				
الوكالة الكورية للغاز توقع مذكرة تفاهم مع شركة إماراتية,pos				
أوسكار تضيف جائزة جديدة لأفضل فيلم جماهيري,neg				
أسواق النفط تتفادى المونديال,pos				
محطة تلفزيون تتهم مسؤولا يابانيا كبيرا بالتحرش بإحدى صحفياتها,neg				
افتتاح مهرجان لندن السينمائي من قبل بناتستيف ماكوين,pos				
مكاسب في وول ستريت في الاسابيع الستة الاخيرة,pos				
السيطرة على عفرين الكردية عن طريق الحكومة السورية,neg				
بريطانيا تخرج من الاتحاد الجمركي الأوروبي,neg				
استهداف مطار في طرابلس بهجوم صاورخى و اجبار ليبيا على تغيير مسار الرحلات الجوية,neg				
تنديد فلسطيني بالإفراج عن جندي إسرائيلي قتل جريحا,neg				
اقتنصت المخابرات التركية مهاجم ريحانلى,neg				
صعود لليرة قبل محاكمة برونسون,neg				
إثر إضراب النقابات في الأردن.. الملك يأمر بتجميد زيادات أسعار الوقود,neg				
إيران تفرج عن مواطنة بعد اتهامها بخلع حجابها,pos				
ما سر اعتراف إسرائيل فى هذا الوقت بتدمير المفاعل النووي السوري؟,neg				
تظاهر الآلاف في المغرب تنديدا بسجن قادة الحراك الشعبي,neg				
زوجة نتنياهو متهم بالاحتيال وإهدار المال العام,neg				
جيرار ديبارديو الممثل الفرنسي الشهير يُتهم باغتصاب ممثلة شابة,neg				
25negألف جنيه إسترليني مقابل الصور الجديدة للبيتلز,neg				
فشل أزمة إيران في تحفيز المشتريات يؤدي إلى انخفاض الذهب,neg				
المسلسل الأمريكي الكوميديروزان يتوقف بعد تغريدة عن مساعدة أوباما,neg				
هل إسرائيل الفائز الحقيقي في الانتخابات العراقية؟,pos				
انتخابات رئاسة قوبة في مصر,pos				
الهدنة الإنسانية في سوريا تؤجل بقرار من مجلس الأمن,neg				
غرق أرقى أحياء مصر بالأمطار يثير السخرية والانتقاد على مواقع التواصل الاجتماعي,neg				
اختراع عالي المخاطرة يحطم أسعار تذاكر المباريات,pos				
اللبنانيون المغتربون يشاركون فى الانتخابات لأول مرة,neg				
وفاة صحفى فى ظروف غامضة بعد أن كتب عن المرتزقة الروس فى سوريا,neg				
مخاوف من حرب تجارية تؤدي إلى انخفاض سعر النفط,neg				
لبنانية ترفض مشروع رسم على إنستغرام,pos				
امرأة في السودان تواجه الإعدام شنقا بعدما قتلت زوجها المغتصب,neg				
في مصر.. أجهزة  جي بي إس على عربات بيع الفول,neg				
الحكومة المصرية ترفع أسعار الوقود,neg				
واشنطن تلغي قرار نقل سفارتها إلى القدس,pos				
أميرة سعودية تظهر على غلاف مجلة شهيرة للموضة,neg				
بيل غيتس: العملات الرقمية تؤدي إلى الموت أحيانا,neg				
قتل محتج بالبصرة في مظاهرات تطالب بمكافحة الفساد وتحسين الخدمات,neg				
مبادرة سعودية تدعم الوضع الإقتصادي الليبي,pos				
استجداء إيراني لإنقاذ اقتصادها,neg				
أسرة الرئيس المصري السابق محمد مرسي تزوره بعد سنة من منع الزيارة,neg				
ورقة تركية مرتقبة إثر التصعيد الأميركي,pos				
تمثال رمسيس الأول يوضع أخيراً في بهو المتحف المصري الكبير,pos				
النفط يهبط إلى أدنى مستوياته,neg				
جمال خاشقجي: العالم العربي في حاجة ماسة لحرية التعبير,neg				
صرح عادل الجبير بأن هناك أطفال مجندة في اليمن,neg				
هبوط العراق ينجو من أزمة الجفاف,pos				
تراجع في أسعار النفط ووفرة بالإنتاج عالميا,neg				
إغلاق الأسبوع على خسائر بالنفط والعين على إيران,neg				
الخلاف التجاري يهبط بالنفط,neg				
احتجاز صحفييْن مصرييْن pos5 يوما بتهمة تكدير الأمن العام,neg				
هيومن رايتس ووتش تدعو دبي للكشف عن مصير ابنة حاكم الإمارة,neg				
ولي العهد السعودي: الإسرائيليون لهم حق في الأرض,neg				
تستعد الإمارات في إرسال المعاونة للوصول إلى ميناء الحديدة,neg				
الإستثمارات الإيرانية في سوريا مستقرة,pos				
من القاهرة إلى طوكيو.. انفجار مستمر بأكبر مدن العالم,neg				
أمهات السبت لم يفقدن الأمل لمعرفة المصير المجهول لابنائهن رغم مرور 23 عاماً,neg				
تساؤلات عن حقيقة شخصية نبيه بري,neg				
قصة استعادة الموساد لساعة الجاسوس الإسرائيلي إيلي كوهين من سوريا,neg				
روسيا ترفع من أسعار الذهب مع هبوط الدولار,neg				
النفط يتخطى حاجز الـ8negدولارا,neg				
ارتفاع الدولار إثر التهديد بحرب تجارية صينية أميركية,pos				
السعودية تطرح ريال ورقي بديلا عن المعدني,pos				
اكتشاف حقول معادن ثمينة تسد حاجات العالم لقرون,neg				
جورج نادر وعلاقته بــنفوذ السعودية على ترامب؟,pos				
أربعة طائرات تورنادو تقصف مخزن أسلحة كيماوية في سوريا,neg				
روسيا تأجل زيارة مفتشي منظمة حظر الأسلحة الكيماوية إلى دوما,pos				
روسيا تقدم شهودا بشأن الهجوم الكيمياوى فى دوما و تصفه بالمسرحية,neg				
إحدى متهِمات هارفي واينستين بالتحرش تحرشت جنسيا بصبي,neg				
ممثلتان تتجردان من الملابس لاختبار الحقيقة العارية,pos				
التحالف السعودي الإماراتي شن غارة جوية أدت لمقتل أطفال يمنيين,neg				
أزمة العملة التركية تهوي بالأسهم الأوروبية,neg				
مصر ما بين انتخابات رئاسة روتينية و إنجازات يتمنى الشعب استكمالها,neg				
إعفاء لأوروبا و 6 دول أخرى من الرسوم الضريبية من قبل واشنطن,neg				
تمسك أهل الغوطة ببلدهم برغم القتال فيها,pos				
