comman,text,label
تأجيل مهمة مفتشي الأسلحة الكيمياوية في دوما السورية,مفتشو الأسلحة الكيمياوية يباشرون دورهم في دوما السورية,0
بقاء الدولار قرب أعلى مستوى واستقرار للذهب,الدولار قرب أدنى مستوى والدولار يتدهور,0
المرصد السوري: جماعة موالية لتنظيم الدولة الإسلامية تسيطر على بلدة جنوبي سوريا,تم تحرير جنوبي سوريا من يد تنظيم الدولة,0
مواجهات قوية بين الجيش الإسرائيلي ومتظاهرين فلسطينيين على حدود غزة أثناء مسيرات العودة الكبرى,هدوء بين الجيش الإسرائيلي ومتظاهرين فلسطينيين على حدود غزة,0
المرأة تحقق المزيد من المكاسب في 2018,المرأة مضطهدة في عام 2018,0
مخزونات الخام الأميركية تهبط بأعلى وتيرة في 10 أسابيع,صعود هو الأعلى للخام الأميركي في ١٠ أسابيع,0
دعى الرئيس التونسى للمساواة فى الميراث بين الرجل و المرأة,الرئيس التونسى يرفض المساواة فى الميراث بين الرجل و المرأة,0
البيانات الرسمية التركية تظهر مخاطر كبيرة.. والمركزي قلق,مخاطر كبيرة تعترض العملة التركية والمركزي يحذر,1
هل ينجح ترامب فى تشكيل ناتو عربى ؟,ترامب يستبعد فكرة تشكيل ناتو عربى,0
إسرائيل تتراجع عن خطة لترحيل عشرات الآلاف من المهاجرين الأفارقة غير الشرعيين,إسرائيل تُقر خطة لترحيل عشرات الآلاف من المهاجرين الأفارقة غير الشرعيين,0
السعودية ستزود السودان بالنفط,قرار السعودية بإمداد السودان بالمال,0
لمحة عن منظومة الدفاع الجوي أس-300 التي تدربتاسرائيل على التعامل معها,تعرف على منظومة الدفاع الجوي أس-300 التي تدربت اسرائيل على التعامل معها,1
التلويح الأميركي يهوي بالليرة التركية لمستوى قياسي,الليرة التركية ترتفع بشكل غير مسبوق,0
حذرت إسرائيل إيران بعد الغارات الجوية الواسعة التى شنتها على سوريا,إسرائيل تدعم هجمات إيران الجوية في سوريا,0
الدولار في أعلى مستوى له منذ أسبوعين,الدولار يصل لأعلى مستوى,1
النفط يرتفع.. مع انخفاض مخزونات الخام الأميركية,النفط يهبط تزامناً مع ارتفاع مخزونات الخام الأميركي,0
دعوى قضائية في مصر تطالب أمير قطر بـ 150 مليون دولار تعويضا لضحايا الإرهاب,مصر: دعوى قضائية تنادي بالصلح مع أمير قطر,0
الإفراج عن الفلسطينية عهد التميمي بعد سجنها 8 أشهر إثر صفعها جنديا إسرائيليا في الضفة الغربية,إستمرار حبس عهد التميمي بعد صفعها جنديا إسرائيليا في الضفة الغربية,0
أنباء عن إستمرار المفاوضات بين مصر وأثيوبيا بشأن سد النهضة,رفض مصر إستمرار المفاوضات بشأن سد النهضة,0
إسرائيل تتهم إيران بالوقوف وراء حركة الاحتجاجات على حدودها مع غزة,إسرائيل ترفض تحميل إيران مسئولية الاحتجاجات على حدودها مع غزة,0
مستشار ترامب يزور مصر وقطر تمهيدا لإعلان صفقة القرن بين الإسرائيليين والفلسطينيين,زيارة مستشار ترامب لمصر و قطر استعدادا للإعلان صفقة القرن,1
مسلحو أحرار الشام يغادرون غوطة دمشق الشرقية فى أعقاب الحرب على سوريا,مسلحو أحرار الشام يستقرون فى الغوطة,0
أعلنت وزارة الصحة عن مقتل 3 فلسطينيين اليوم فى مظاهرات بغزة,مظاهرات بغزة دون وقع ضحايا,0
إيران والمغرب: علاقة متأرجحة على وقع الأوضاع الإقليمية,إيران والعراق: علاقة متأرجحة على وقع الأوضاع الإقليمية,0
كاني ويست : اختفاء المغني الأمريكي وزوج كيم كارداشيان من مواقع التواصل الاجتماعي مرة أخرى,المغني الأمريكي كاني ويست يظهر مجدداً على وسائل التواصل الاجتماعي,0
النفط ينخفض مع تجدد المخاوف من حرب تجارية,ارتفاع عالمي على أسعار النفط رغم المخاوف من حرب تجارية,0
حبس الناشط السياسي المصري حازم عبدالعظيم احتياطيا بتهمة نشر أخبار كاذبة,مصر: حبس الناشط السياسي المصري حازم عبدالعظيم احتياطيا لقيامه بنشر أخبار كاذبة,1
المركزي المصري يخفض أسعار الفائدة مع انحسار التضخم,انحسار التضخم في مصر وخفض أسعار الفائدة,1
